medication_name,targets,interacts_with,contraindications,usage_note
Paracetamol,"headache, fever, body ache, mild pain","warfarin","liver disease, chronic heavy alcohol use","Do not combine with other paracetamol-containing products. Follow package directions; consult a pharmacist if pain or fever persists beyond a few days."
Ibuprofen,"headache, fever, body ache, mild pain, menstrual cramps, muscle pain","aspirin, warfarin, other NSAIDs","peptic ulcer disease, aspirin/NSAID allergy or asthma sensitivity, third trimester pregnancy, severe kidney disease","Take with food. Avoid in significant kidney impairment or active GI bleeding history. Follow package directions."
Aspirin,"headache, fever, mild pain","ibuprofen, warfarin, other NSAIDs","children/teens with viral illness (Reye's syndrome risk), peptic ulcer disease, bleeding disorders, aspirin allergy","Not for use in children or teenagers with fever from a viral illness. Follow package directions."
Loratadine,"seasonal allergies, runny nose, sneezing, itchy eyes, hives","alcohol","known allergy to loratadine","Non-drowsy antihistamine. Follow package directions."
Cetirizine,"seasonal allergies, runny nose, sneezing, itchy eyes, hives","alcohol, sedatives","known allergy to cetirizine or hydroxyzine","May cause mild drowsiness in some people. Follow package directions."
Diphenhydramine,"allergic reaction, hives, itching, runny nose, sneezing, occasional sleeplessness","alcohol, sedatives, other antihistamines","glaucoma, difficulty urinating due to enlarged prostate, asthma","Causes significant drowsiness — avoid driving or operating machinery. Follow package directions."
Guaifenesin,"chest congestion, mucus, productive cough","none","none",Drink extra fluids to help loosen mucus. Follow package directions.
Dextromethorphan,"dry cough, non-productive cough","MAOIs, other cough/cold combination products","use of an MAOI within the past two weeks","Do not combine with other products containing dextromethorphan. Follow package directions."
Pseudoephedrine,"nasal congestion, sinus pressure, stuffy nose","MAOIs, blood pressure medications, decongestant combination products","high blood pressure, heart disease, MAOI use, hyperthyroidism","May raise blood pressure and cause jitteriness or trouble sleeping. Follow package directions."
Famotidine,"heartburn, acid indigestion, acid reflux","none noted at OTC dose","known allergy to famotidine or other H2 blockers","For frequent heartburn (2+ times/week), see a doctor before regular use. Follow package directions."
Loperamide,"diarrhea","opioids","bloody or black stools, high fever with diarrhea, bacterial diarrhea","Stop and see a doctor if diarrhea persists beyond 2 days or is accompanied by fever/blood. Follow package directions."
Bisacodyl,"constipation, occasional constipation","none","abdominal pain of unknown cause, nausea/vomiting, sudden change in bowel habits lasting 2+ weeks","For occasional use only; not for long-term/daily use without medical advice. Follow package directions."
Docusate Sodium,"constipation, stool softening","mineral oil","none","Stool softener, not a stimulant laxative — works gradually. Follow package directions."
Simethicone,"gas, bloating, abdominal discomfort from gas","none","none",Take after meals and at bedtime as needed. Follow package directions.
Oral Rehydration Salts,"dehydration, diarrhea-related fluid loss, vomiting-related fluid loss","none","kidney failure, severe vomiting preventing oral intake","Mix with the exact amount of clean water stated on the packaging. Seek care if unable to keep fluids down."
Calamine Lotion,"itching, mild skin irritation, insect bites, rash","none","broken or infected skin","Topical use only. Discontinue if irritation worsens."
Hydrocortisone Cream 1%,"itching, mild skin irritation, eczema flare, insect bite reaction","none","broken skin, active skin infection, use on the face for extended periods","Topical use only, short-term. See a doctor if the rash worsens or doesn't improve in a week."
Melatonin,"occasional sleeplessness, jet lag","sedatives, alcohol","pregnancy, autoimmune conditions (consult doctor first)","Take shortly before bedtime. Not a substitute for treating an underlying sleep disorder."
Antacid (Calcium Carbonate),"heartburn, acid indigestion, upset stomach","tetracycline antibiotics, iron supplements","kidney stones, hypercalcemia","Space apart from other medications by at least 2 hours if taking regularly."
Vitamin C,"general immune support (mild cold symptoms), scurvy prevention","none at typical OTC dose","history of kidney stones (high-dose use)","Supportive only — not a treatment for infection."
Clotrimazole Cream,"fungal infection, athlete's foot, ringworm, jock itch","none","broken or infected skin, nail fungal infection (needs different treatment)","Topical use only. See a doctor if there's no improvement after two weeks."
Benzoyl Peroxide,"acne, pimples, blackheads","topical retinoids (increased irritation)","known allergy to benzoyl peroxide, broken/sunburned skin","Can bleach fabric and hair. Start with lower strength to assess skin sensitivity."
Salicylic Acid (Topical),"acne, blackheads, whiteheads","other exfoliating topical acne products","known allergy to salicylates, pregnancy (consult doctor first)","Topical use only. Follow package directions; avoid combining multiple exfoliating products at once."
Chlorpheniramine Maleate,"seasonal allergies, runny nose, sneezing, itchy eyes","alcohol, sedatives","glaucoma, difficulty urinating due to enlarged prostate","Causes drowsiness — avoid driving or operating machinery. Follow package directions."
Dimenhydrinate,"motion sickness, nausea, dizziness","alcohol, sedatives, other antihistamines","glaucoma, difficulty urinating due to enlarged prostate","Take before travel for best effect on motion sickness. Causes drowsiness."
Saline Nasal Spray,"nasal congestion, stuffy nose, sinus dryness","none","none","Non-medicated; safe for frequent use, including in children. Follow package directions."
